,1,2,3,4,5,6,7,8,9,10,11,12
ap_bicubic,0.00033003300330033004,0.004995890170392383,0.007244635702306924,0.00932905694840079,0.015585524637157086,0.01791090395019058,0.01992423747340882,0.02464326442081724,0.029161293076323785,0.03262168807057095,0.032109117597989595,0.03247833609592183
ap_nearest,0.0001617510035964019,0.0013241563436453881,0.00444367502155187,0.005507657670518125,0.006019091417943362,0.007426618723531361,0.006976194059549335,0.006937117699454663,0.007201951902281454,0.007118851304359601,0.007163539211185484,0.007204115084940524
ap_bilinear,1.5831841486731696e-05,0.00953069054940073,0.0031144538096207976,0.0031519569609439906,0.005516729430326,0.019748949033808524,0.019658728935674025,0.017564653900317258,0.017591480029015713,0.017623419701112978,0.01762889947978806,0.01764185129337794
ap50_bicubic,0.00165016501650165,0.02433890291002247,0.029037413391724894,0.0368373691222522,0.07095803309786228,0.08843347504039878,0.10128780486220634,0.12175204480009966,0.1534456633846991,0.1651113268411472,0.1671693699670808,0.16655102375879807
ap50_nearest,0.0011734023006522286,0.007221419162887573,0.019159885600251288,0.02775249561178279,0.026483042353620853,0.0330275039982571,0.03173994293508629,0.032595911747526136,0.032448618845390895,0.03226023097168243,0.032458529739668784,0.032602665298210314
ap50_bilinear,0.0001217833960517823,0.06038375675123599,0.01577388442514918,0.01683767354080828,0.02414311754036149,0.06692833647167329,0.06623860825066281,0.056754513459748517,0.056886152795145736,0.056974548497664416,0.057027113194076454,0.05710845931857718
ap75_bicubic,0.0,0.0,0.0020624325439891444,0.0033117366626496435,0.003312204694028414,0.0018586069133229113,0.003929469184810508,0.0040510369718290504,0.0058376944274089095,0.005852287807795251,0.004711881493708059,0.005962842799038325
ap75_nearest,0.0,0.0,0.0003063594909535117,0.0002324176079579789,0.000574134203096676,0.0008779203043457056,0.00087361677344205,0.001059444465847363,0.0009683979180548275,0.0009661814418703836,0.0009657873410203249,0.0009684204269349345
ap75_bilinear,0.0,0.0,0.00034196667978875905,0.00010134073796325385,0.0004001066676126233,0.00057379461567668,0.0008125847511873402,0.0008658352729787125,0.0008529903579706675,0.0008610272486932386,0.0008606550310203434,0.0008599161511622084
Maskap_bicubic,0.00016501650165016502,0.004309487902556897,0.004511566148097981,0.009775793201977401,0.013815384773839158,0.016950549275025092,0.017676558378316238,0.01762663729451295,0.02505359599965387,0.027907029049736878,0.02741358874426615,0.027694177254194582
Maskap_nearest,3.831517716415441e-05,0.0006267006401893437,0.003591082849436204,0.006308425378873953,0.00459395202592473,0.006096780732665804,0.006054354138578136,0.006463257868417407,0.0065751194180232704,0.006529098244980972,0.0065259503890946835,0.00643770404821933
Maskap_bilinear,4.0143637381589956e-05,0.0051715868844100085,0.00256812988288944,0.0023779121630473007,0.005571315833834467,0.021654097430062882,0.0215176659130211,0.0207541050961783,0.021218195394025037,0.02106746022268881,0.021058709866361016,0.02106005940343903
Maskap50_bicubic,0.00165016501650165,0.018031268131915662,0.016996817665185262,0.04279064893586173,0.050480082708821324,0.08328049461400681,0.08627370574847543,0.0758199199799508,0.0909645611484963,0.09767113350043725,0.09778742547526294,0.0972011852050303
Maskap50_nearest,0.00018286789101073695,0.004161495607521947,0.013700939719141852,0.030730987888267714,0.01729785408437083,0.029754683953037275,0.03056264893034977,0.03094699178092632,0.030476502556465897,0.030392319795037946,0.03086356762136623,0.028715555610158667
Maskap50_bilinear,0.00012163378500012162,0.019519036880519685,0.012433660600914161,0.010465902433490874,0.019095520625258083,0.0719497518341969,0.06811557187617333,0.05805775417076064,0.05968772756901586,0.05975729881420271,0.059655650102793584,0.059671533776963714
Maskap75_bicubic,0.0,0.0,0.00033003300330033004,0.0010636720354063056,0.0017459210709803376,0.0022217745282906197,0.0025577557755775576,0.003488480716203489,0.004091226591864113,0.00406461698801459,0.0032504883141375365,0.004160337646306624
Maskap75_nearest,0.0,0.0,0.0,0.0,0.00021904845351791816,0.0005121201775349949,0.0005096097845078625,0.0008506817268839057,0.000825082508250825,0.0004823066085141783,0.000484203349912456,0.00048632498141456545
Maskap75_bilinear,0.0,0.0,0.00028872564675822416,0.0,0.000125806735692629,0.0007276108721788598,0.0007929909550730348,0.0008549970696404991,0.0008439260712603064,0.0008496539309103325,0.0008496539309103325,0.0008496539309103325
